2019年7月1日
		hadoop	
		MapReduce			
		Map					映射
		Reduce				减少，降低  
		volume 				体量大
		vanety				样式多
		Velocity			速度快
		Valueless			价值密度低
		first				第一
		Secondary    		第二
		thirdly				第三
		node				节点
		server 				服务器
		Client				客户端
		fsimage				映射文件
		edits				日志文件
		Block 				块
		Report  			报表
		Master				主人
		slave				仆人

2019年7月2日
		task				任务
		container			容器
		site				地点
		core				核心
		scheme				计划
		authority			权限
		Stream				流{输入，输出}
		distributed			分布式
		checksum			校验和
2019年7月3日
		browsing  			浏览器
		over 				结束
		view				视图
		snapshot			快照
		startup 			启动
		progress			进程
		Utilities			公共工具
		Directory			目录
		permission			权限
